"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Aang, Airbending Master","tle","NM","English","","","2026-08-01","74","False","False","0.00"
"1","1","Aang, Air Nomad","tle","NM","English","","","2026-08-01","210","False","False","0.00"
"1","1","Aang, at the Crossroads // Aang, Destined Savior","ptla","NM","English","","","2026-08-01","203s","False","False","0.00"
"1","1","Aang, at the Crossroads // Aang, Destined Savior","tla","NM","English","","","2026-08-01","346","False","False","0.00"
"1","1","Aang's Iceberg","tla","NM","English","","","2026-08-01","336","False","False","0.00"
"1","1","Aang, Swift Savior // Aang and La, Ocean's Fury","ptla","NM","English","","","2026-08-01","204s","False","False","0.00"
"1","1","Aang, Swift Savior // Aang and La, Ocean's Fury","tla","NM","English","","","2026-08-01","347","False","False","0.00"
"1","1","Aatchik, Emerald Radian","dft","NM","English","","","2026-08-01","473","False","False","0.00"
"1","1","Abaddon the Despoiler","40k","NM","English","","","2026-08-01","171","False","False","0.00"
"1","1","Abandoned Air Temple","tla","NM","English","","","2026-08-01","263","False","False","0.00"
"1","1","Abandoned Air Temple","tla","NM","English","","","2026-08-01","386","False","False","0.00"
"1","1","Aberrant","40k","NM","English","","","2026-08-01","86","False","False","0.00"
"1","1","Abeyance","wth","NM","English","","","2026-08-01","1","False","False","0.00"
"1","1","Abhorrent Oculus","sch","NM","English","","","2026-08-01","50","False","False","0.00"
"1","1","Abhorrent Oculus","pdsk","NM","English","","","2026-08-01","42p","False","False","0.00"
"1","1","Abhorrent Overlord","pths","NM","English","","","2026-08-01","75★","False","False","0.00"
"1","1","Abigale, Eloquent First-Year","ecl","NM","English","","","2026-08-01","368","False","False","0.00"
"1","1","Aboleth Spawn","clb","NM","English","","","2026-08-01","662","False","False","0.00"
"1","1","Abolish","ddf","NM","English","","","2026-08-01","29","False","False","0.00"
"1","1","Abomination","ren","NM","English","","","2026-08-01","46","False","False","0.00"
"2","0","Alhammarret's Archive","c21","NM","English","","","2026-08-01","233","False","False","0.00"
"2","0","Ancient Den","c21","NM","English","","","2026-08-01","276","False","False","0.00"
"2","0","Arcane Signet","c21","NM","English","","","2026-08-01","234","False","False","0.00"
"2","0","Battlemage's Bracers","c21","NM","English","","","2026-08-01","48","False","False","0.00"
"2","0","Boros Locket","c21","NM","English","","","2026-08-01","236","False","False","0.00"
"2","0","Bronze Guardian","c21","NM","English","","","2026-08-01","340","False","False","0.00"
"2","0","Commander's Sphere","c21","NM","English","","","2026-08-01","239","False","False","0.00"
"1","1","Brazen Borrower // Petty Theft","soc","NM","English","","","2026-08-01","190","False","False","0.00"
"1","1","Lim-Dûl's Vault","c13","NM","English","","","2026-08-01","197","False","False","0.00"
"1","1","Fire // Ice","dmr","NM","English","","","2026-08-01","215","False","False","0.00"
