"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","Aang, Airbending Master","tle","NM","English","","","2026-08-01","171","False","False","0.00"
"2","2","Aang and Katara","tle","NM","English","","","2026-08-01","69","False","False","0.00"
"2","2","Aang, at the Crossroads // Aang, Destined Savior","tla","NM","English","","","2026-08-01","304","False","False","0.00"
"2","2","Aang's Iceberg","ptla","NM","English","","","2026-08-01","5s","False","False","0.00"
"2","2","Aang, Swift Savior // Aang and La, Ocean's Fury","tla","NM","English","","","2026-08-01","204","False","False","0.00"
"2","2","Aang, Swift Savior // Aang and La, Ocean's Fury","tla","NM","English","","","2026-08-01","298","False","False","0.00"
"2","2","Aang, Swift Savior // Aang and La, Ocean's Fury","tla","NM","English","","","2026-08-01","359","False","False","0.00"
"2","2","Abaddon the Despoiler","40k","NM","English","","","2026-08-01","2","False","False","0.00"
"2","2","Abaddon the Despoiler","40k","NM","English","","","2026-08-01","178","False","False","0.00"
"2","2","Abandoned Air Temple","ptla","NM","English","","","2026-08-01","263s","False","False","0.00"
"2","2","Abby, Merciless Soldier","sld","NM","English","","","2026-08-01","2202","False","False","0.00"
"2","2","Aberrant","40k","NM","English","","","2026-08-01","86★","False","False","0.00"
"2","2","Abhorrent Oculus","dsk","NM","English","","","2026-08-01","42","False","False","0.00"
"2","2","Abhorrent Oculus","dsk","NM","English","","","2026-08-01","344","False","False","0.00"
"2","2","Abhorrent Oculus","pdsk","NM","English","","","2026-08-01","42s","False","False","0.00"
"2","2","Abigale, Eloquent First-Year","pecl","NM","English","","","2026-08-01","204p","False","False","0.00"
"2","2","Abjure","wth","NM","English","","","2026-08-01","31","False","False","0.00"
"2","2","Aboleth Spawn","clb","NM","English","","","2026-08-01","612","False","False","0.00"
"2","2","Abomination","leg","NM","English","","","2026-08-01","87","False","False","0.00"
"2","2","Abomination, Irradiated Brute","msc","NM","English","","","2026-08-01","511","False","False","0.00"
"1","0","Aang, Airbending Master","tle","NM","English","foil","","2026-08-01","74","False","False","0.00"
"1","0","Aang, at the Crossroads // Aang, Destined Savior","tla","NM","English","foil","","2026-08-01","304","False","False","0.00"
"1","0","Aang, Swift Savior // Aang and La, Ocean's Fury","ptla","NM","English","foil","","2026-08-01","204s","False","False","0.00"
"1","0","Abaddon the Despoiler","40k","NM","English","foil","","2026-08-01","2","False","False","0.00"
"1","0","Abandoned Air Temple","tla","NM","English","foil","","2026-08-01","386","False","False","0.00"
"1","0","Abhorrent Oculus","dsk","NM","English","foil","","2026-08-01","42","False","False","0.00"
"1","0","Abhorrent Overlord","pths","NM","English","foil","","2026-08-01","75★","False","False","0.00"
"1","0","Aboleth Spawn","clb","NM","English","foil","","2026-08-01","612","False","False","0.00"
"1","1","Alibou, Ancient Witness","c21","NM","English","","","2026-08-01","7","False","False","0.00"
"1","1","Angel of the Ruins","c21","NM","English","","","2026-08-01","11","False","False","0.00"
"1","1","Archaeomancer's Map","c21","NM","English","","","2026-08-01","12","False","False","0.00"
"1","1","Battlemage's Bracers","c21","NM","English","","","2026-08-01","375","False","False","0.00"
"1","1","Bosh, Iron Golem","c21","NM","English","","","2026-08-01","237","False","False","0.00"
"1","1","Burnished Hart","c21","NM","English","","","2026-08-01","238","False","False","0.00"
"1","1","Coveted Jewel","c21","NM","English","","","2026-08-01","240","False","False","0.00"
